price,location,make,model,year,fuel,mileage_km,trans,body_type,color,reg,hp,euro,len_text
4200.0,Свети Николе,VW Volkswagen,Golf Plus,2006,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,105.0, 4,25
,Скопје,Seat,Ibiza,2010,Дизел,130000,Рачен,Хеџбек,Сина,Македонска,80.0, 5,47
16999.0,Струмица,Audi,A6,2011,Дизел,180000,Автоматски,Седани,Црна,Странска,245.0, 5,43
,Прилеп,Opel,Insignia,2010,Дизел,200000,Рачен,Каравани,Црна,Македонска,131.0, 5,76
8900.0,Гостивар,Ford,Focus,2013,Дизел,180000,Автоматски,Седани,Бела,Македонска,140.0, 5,9
4500.0,Охрид,Mercedes-Benz,270,2003,Дизел,190000,Рачен,Седани,Сива,Македонска,197.0, 3,19
4800.0,Тетово,VW Volkswagen,Passat,2006,Дизел,200000,Рачен,Каравани,Црна,Македонска,140.0, 4,62
,Скопје,BMW,320,2005,Дизел,350000,Рачен,Моноволумен,Сива,Македонска,163.0, 4,20
1200.0,Скопје,Suzuki,Swift,2000,Бензин,90000,Рачен,Хеџбек,Црвена,Македонска,53.0,Останато,22
,Скопје,Peugeot,207,2007,Бензин,100000,Рачен,Хеџбек,Сива,Македонска,1.0, 4,20
,Скопје,Renault,Clio,2012,Дизел,130000,Рачен,Хеџбек,Црна,Македонска,1.0, 5,15
,Скопје,VW Volkswagen,Golf,2007,Бензин / Плин,180000,Рачен,Хеџбек,Сива,Македонска,102.0, 4,15
,Скопје,Nissan,Qashqai,2010,Дизел,150000,Рачен,Теренци - SUV,Златна,Македонска,106.0, 1,19
5900.0,Ресен,Mercedes-Benz,E 280,2005,Дизел,190000,Автоматски,Седани,Сива,Македонска,190.0, 4,7
8900.0,Струмица,VW Volkswagen,Touran,2012,Дизел,160000,Рачен,Моноволумен,Бела,Македонска,105.0, 5,53
2000.0,Струмица,Citroen,C3,2007,Дизел,180000,Рачен,Maли градски,Сива,Странска,68.0, 4,15
